item,year,worry,actual,expected,unexpected
Trade unions / strikes,1983,5,3754,7.227574905947552,-2.2275749059475523
Trade unions / strikes,1984,25.5,27135,36.96167593943184,-11.461675939431842
Trade unions / strikes,1985,8.25,6402,26.63349261765306,-18.38349261765306
Trade unions / strikes,1986,1.75,1920,5.60003620051324,-3.85003620051324
Trade unions / strikes,1987,1.2,3546,4.479225142166898,-3.279225142166898
Trade unions / strikes,1988,1.5208333333333333,3702,5.870658217401829,-4.349824884068496
Trade unions / strikes,1989,0,4128,6.546854508294223,-6.546854508294223
Trade unions / strikes,1990,0.5,1903,3.919694795367843,-3.419694795367843
Trade unions / strikes,1991,0.0625,761,0.7897025675179683,-0.7272025675179683
Trade unions / strikes,1992,1,528,-0.3505283074534551,1.350528307453455
Trade unions / strikes,1993,0.375,649,-0.36064031134448554,0.7356403113444856
Trade unions / strikes,1994,0.5208333333333334,278,-0.7622670266753081,1.2831003600086415
Trade unions / strikes,1995,0.2708333333333333,415,-0.8518647835191908,1.122698116852524
Trade unions / strikes,1996,0.22916666666666663,1303,0.42047327648889243,-0.1913066098222258
Trade unions / strikes,1997,0.2727272727272727,235,-0.34223229747638517,0.6149595702036579
Trade unions / strikes,1998,0,282,-1.0588189541264872,1.0588189541264872
Trade unions / strikes,1999,0.22916666666666663,242,-1.0773661943674495,1.3065328610341163
Trade unions / strikes,2000,0.02083333333333333,499,-0.7672031503605934,0.7880364836939268
Trade unions / strikes,2001,0.125,525,-0.5455045596896374,0.6705045596896374
Trade unions / strikes,2002,1.7083333333333333,1323,0.5270771872811284,1.1812561460522049
Trade unions / strikes,2003,0.7916666666666666,499,0.02091703103391629,0.7707496356327503
Trade unions / strikes,2004,0.1875,905,-0.04377787638972086,0.23127787638972086
Trade unions / strikes,2005,0.15,157,-0.735386508286522,0.885386508286522
Trade unions / strikes,2006,0.20454545454545456,755,-0.4911684028786248,0.6957138574240793
Trade unions / strikes,2007,0.3611111111111111,1039,0.31978765316085134,0.04132345795025977
Trade unions / strikes,2008,0.1875,759,0.15714900832633338,0.030350991673666616
Trade unions / strikes,2009,0.16666666666666666,455,-0.4483707756775801,0.6150374423442467
Trade unions / strikes,2010,0.3409090909090909,365,-0.7888367973264985,1.1297458882355893
Trade unions / strikes,2011,0.5625,1390,0.49888898791060615,0.06361101208939385
